,Unnamed: 0,country,gdp,fossil_share_energy,renewables_share_energy,low_carbon_share_energy,nuclear_share_energy,population,energy_per_capita,primary_energy_consumption
1038,12563,Peru,125000000000.0,65.91,34.09,34.09,0.0,26799000.0,5370.711,143.93
1039,12564,Peru,133000000000.0,65.963,33.913,33.913,0.0,27101000.0,5437.884,147.372
1040,12565,Peru,141000000000.0,64.736,35.136,35.136,0.0,27372000.0,5306.023,145.236
1041,12566,Peru,153000000000.0,68.996,30.925,30.925,0.0,27624000.0,5602.33,154.759
1042,12567,Peru,170000000000.0,69.491,30.458,30.458,0.0,27866000.0,5808.023,161.846
1043,12568,Peru,193000000000.0,66.75,32.689,32.689,0.0,28102000.0,5803.033,163.077
1044,12569,Peru,214000000000.0,69.813,29.66,29.66,0.0,28333000.0,6311.251,178.817
1045,12570,Peru,235000000000.0,72.682,26.702,26.702,0.0,28562000.0,6756.58,192.981
1046,12571,Peru,237000000000.0,72.037,27.015,27.015,0.0,28793000.0,6868.653,197.769
1047,12572,Peru,270000000000.0,74.727,24.249,24.249,0.0,29028000.0,7677.239,222.855
1048,12573,Peru,294000000000.0,76.123,22.904,22.904,0.0,29264000.0,8596.346,251.563
1049,12574,Peru,311000000000.0,75.441,23.024,23.024,0.0,29507000.0,8629.682,254.636
1050,12575,Peru,322000000000.0,75.34,23.055,23.055,0.0,29774000.0,8756.718,260.723
1051,12576,Peru,331000000000.0,75.626,22.882,22.882,0.0,30090000.0,8855.557,266.464
1052,12577,Peru,342000000000.0,75.781,22.662,22.662,0.0,30471000.0,9312.026,283.747
1053,12578,Peru,355000000000.0,77.031,21.493,21.493,0.0,30926000.0,9748.041,301.468
1054,12579,Peru,,72.427,26.042,26.042,0.0,31444000.0,9606.984,302.082
1055,12580,Peru,,71.708,26.842,26.842,0.0,31989000.0,9907.861,316.943
1056,12581,Peru,,71.207,27.329,27.329,0.0,32510000.0,9924.199,322.636
1057,12582,Peru,,,,,,,,
1058,12683,Philippines,339000000000.0,81.974,18.026,18.026,0.0,77992000.0,3837.989,299.332
1059,12684,Philippines,342000000000.0,83.581,16.419,16.419,0.0,79673000.0,3701.706,294.926
1060,12685,Philippines,348000000000.0,83.833,16.167,16.167,0.0,81365000.0,3601.085,293.002
1061,12686,Philippines,358000000000.0,84.115,15.885,15.885,0.0,83052000.0,3653.535,303.433
1062,12687,Philippines,370000000000.0,83.704,16.296,16.296,0.0,84711000.0,3701.162,313.529
1063,12688,Philippines,384000000000.0,84.222,15.773,15.773,0.0,86326000.0,3616.81,312.225
1064,12689,Philippines,406000000000.0,81.93,18.061,18.061,0.0,87889000.0,3445.228,302.798
1065,12690,Philippines,438000000000.0,84.0,15.883,15.883,0.0,89405000.0,3523.595,315.027
1066,12691,Philippines,467000000000.0,83.066,16.73,16.73,0.0,90902000.0,3580.558,325.48
1067,12692,Philippines,488000000000.0,83.167,16.105,16.105,0.0,92414000.0,3558.993,328.901
1068,12693,Philippines,537000000000.0,85.557,13.705,13.705,0.0,93967000.0,3608.538,339.083
1069,12694,Philippines,586000000000.0,84.372,14.876,14.876,0.0,95570000.0,3617.133,345.689
1070,12695,Philippines,609000000000.0,84.054,14.986,14.986,0.0,97213000.0,3670.817,356.851
1071,12696,Philippines,662000000000.0,85.611,13.318,13.318,0.0,98872000.0,3869.857,382.62
1072,12697,Philippines,694000000000.0,86.366,12.525,12.525,0.0,100513000.0,4004.631,402.517
1073,12698,Philippines,735000000000.0,86.837,12.019,12.019,0.0,102113000.0,4320.974,441.228
1074,12699,Philippines,785000000000.0,87.37,11.47,11.47,0.0,103664000.0,4648.659,481.899
1075,12700,Philippines,,87.942,10.966,10.966,0.0,105173000.0,5025.291,528.525
1076,12701,Philippines,,88.236,10.67,10.67,0.0,106651000.0,5094.519,543.336
1077,12702,Philippines,,88.331,10.542,10.542,0.0,108117000.0,5200.079,562.217
1078,12703,Philippines,,,,,,,,
1079,12804,Poland,511000000000.0,99.363,0.637,0.637,0.0,38557000.0,26377.972,1017.055
1080,12805,Poland,513000000000.0,99.239,0.761,0.761,0.0,38530000.0,26209.415,1009.849
1081,12806,Poland,530000000000.0,99.241,0.759,0.759,0.0,38489000.0,25954.788,998.974
1082,12807,Poland,528000000000.0,99.374,0.626,0.626,0.0,38442000.0,26889.794,1033.697
1083,12808,Poland,547000000000.0,99.184,0.816,0.816,0.0,38400000.0,27094.458,1040.427
1084,12809,Poland,568000000000.0,98.971,1.029,1.029,0.0,38369000.0,27709.977,1063.204
1085,12810,Poland,594000000000.0,98.875,1.125,1.125,0.0,38354000.0,29086.586,1115.587
1086,12811,Poland,656000000000.0,98.598,1.402,1.402,0.0,38353000.0,28993.839,1112.001
1087,12812,Poland,681000000000.0,98.002,1.998,1.998,0.0,38357000.0,29483.221,1130.888
