,country,gdp,fossil_share_energy,renewables_share_energy,nuclear_share_energy,population
1719,Belize,,,,,361000.0
1720,Belize,,,,,368000.0
1721,Belize,,,,,376000.0
1722,Belize,,,,,383000.0
1723,Belize,,,,,390000.0
1744,Benin,9.855690752,,,,6866000.0
1745,Benin,10.58677248,,,,7077000.0
1746,Benin,11.740367872,,,,7295000.0
1747,Benin,12.538386432,,,,7521000.0
1748,Benin,13.42064128,,,,7750000.0
1749,Benin,14.225961984,,,,7982000.0
1750,Benin,14.626272256,,,,8217000.0
1751,Benin,15.620586496,,,,8455000.0
1752,Benin,16.187101184,,,,8697000.0
1753,Benin,16.326744064,,,,8945000.0
1754,Benin,16.880384,,,,9199000.0
1755,Benin,17.120700416,,,,9461000.0
1756,Benin,18.295693312,,,,9729000.0
1757,Benin,19.378673664,,,,10005000.0
1758,Benin,21.256812544,,,,10287000.0
1759,Benin,22.371309568,,,,10576000.0
1760,Benin,23.265005568,,,,10872000.0
1761,Benin,,,,,11175000.0
1762,Benin,,,,,11485000.0
1763,Benin,,,,,11801000.0
1784,Bermuda,,,,,65000.0
1785,Bermuda,,,,,65000.0
1786,Bermuda,,,,,66000.0
1787,Bermuda,,,,,66000.0
1788,Bermuda,,,,,66000.0
1789,Bermuda,,,,,66000.0
1790,Bermuda,,,,,66000.0
1791,Bermuda,,,,,66000.0
1792,Bermuda,,,,,66000.0
1793,Bermuda,,,,,66000.0
1794,Bermuda,,,,,65000.0
1795,Bermuda,,,,,65000.0
1796,Bermuda,,,,,65000.0
1797,Bermuda,,,,,64000.0
1798,Bermuda,,,,,64000.0
1799,Bermuda,,,,,64000.0
1800,Bermuda,,,,,63000.0
1801,Bermuda,,,,,63000.0
1802,Bermuda,,,,,63000.0
1803,Bermuda,,,,,63000.0
1824,Bhutan,,,,,591000.0
1825,Bhutan,,,,,604000.0
1826,Bhutan,,,,,616000.0
1827,Bhutan,,,,,628000.0
1828,Bhutan,,,,,639000.0
1829,Bhutan,,,,,649000.0
1830,Bhutan,,,,,657000.0
1831,Bhutan,,,,,665000.0
1832,Bhutan,,,,,672000.0
1833,Bhutan,,,,,678000.0
1834,Bhutan,,,,,686000.0
1835,Bhutan,,,,,693000.0
1836,Bhutan,,,,,702000.0
1837,Bhutan,,,,,710000.0
1838,Bhutan,,,,,719000.0
1839,Bhutan,,,,,728000.0
1840,Bhutan,,,,,737000.0
1841,Bhutan,,,,,746000.0
1842,Bhutan,,,,,754000.0
1843,Bhutan,,,,,763000.0
1944,Bolivia,24.453879808,,,,8418000.0
1945,Bolivia,25.577918464,,,,8580000.0
1946,Bolivia,26.975635456,,,,8743000.0
1947,Bolivia,28.345468928,,,,8906000.0
1948,Bolivia,30.184128512,,,,9069000.0
1949,Bolivia,32.590215168,,,,9232000.0
1950,Bolivia,34.446999552,,,,9395000.0
1951,Bolivia,36.591730688,,,,9558000.0
1952,Bolivia,41.33230592,,,,9721000.0
1953,Bolivia,43.342348288,,,,9885000.0
