country,population,low_carbon_share_elec,fossil_share_elec,renewables_share_elec,nuclear_share_elec,fossil_cons_per_capita,per_capita_electricity,continente,iso_code,fossil_percentage,nuclear_percentage,renewables_percentage
Nigeria,181.44599644444443,20.411099999999998,79.5889,20.411099999999998,0.0,135.87460000000002,170.6504,África,NGA,0.6028859056419879,0.0,0.3201550351514538
Niue,0.002,0.0,100.0,0.0,0.0,1500.0,1500.0,Oceanía,NIU,0.7574999851009222,0.0,0.0
North Korea,25.177777777777777,76.99288888888888,23.00711111111111,76.99288888888888,0.0,153.36444444444444,655.8844444444444,Asia,PRK,0.1742788632388193,0.0,1.207659609165317
Norway,5.183,98.111,1.889,98.111,0.0,506.8066,26928.8234,Europa,NOR,0.01430917471855642,0.0,1.5389043536969733
Oman,4.195222222222222,0.0074444444444444445,99.99255555555555,0.0074444444444444445,0.0,6981.535444444445,6982.072777777777,Asia,OMN,0.7574435934353646,0.0,0.0001167686392597242
Pakistan,199.66033244444444,38.1531,61.846900000000005,32.795,5.3584000000000005,358.0959,579.9738,Asia,PAK,0.46849025828538227,0.7408262085736022,0.5144007122493119
Palestine,4.5456666666666665,0.03777777777777778,99.96222222222222,0.03777777777777778,0.0,94.61877777777778,94.6481111111111,Asia,PSE,0.7572138184398841,0.0,0.0005925572738553169
Panama,3.9719999999999995,66.893,33.107,66.893,0.0,788.7196666666666,2434.230555555556,Norteamérica,PAN,0.25078552006736227,0.0,1.0492394220000982
Papua New Guinea,8.115333333333332,27.236333333333334,72.76366666666667,27.236333333333334,0.0,334.5276666666666,459.2343333333334,Oceanía,PNG,0.5511847641588846,0.0,0.427211137848036
Paraguay,6.689,99.99611111111112,0.003888888888888889,99.99611111111112,0.0,0.3295555555555556,8647.857555555554,Sudamérica,PRY,2.9458332753924758e-05,0.0,1.5684729616623534
Peru,30.66388888888889,57.7494,42.2506,57.7494,0.0,640.5182,1520.7907,Sudamérica,PER,0.3200482887050502,0.0,0.9058189508147709
Philippines,101.98733333333332,25.849,74.151,25.849,0.0,598.4047,804.1582000000001,Asia,PHL,0.5616938139521849,0.0,0.4054503433734552
Poland,38.061,12.7917,87.2083,12.7917,0.0,3752.1411,4302.6687,Europa,POL,0.6606028595067674,0.0,0.20064215858757503
Portugal,10.383444444444445,51.2143,48.7857,51.2143,0.0,2496.9546,5119.3602,Europa,PRT,0.3695516702313806,0.0,0.8033136879813977
Puerto Rico,3.3174444444444444,4.257222222222222,95.74277777777779,4.257222222222222,0.0,5701.4508888888895,5981.054,Norteamérica,PRI,0.7252515274018758,0.0,0.06677597631696018
Qatar,2.5096666666666665,0.3211111111111111,99.67888888888889,0.3211111111111111,0.0,15168.512999999999,15217.057999999999,Asia,QAT,0.7550675684820982,0.0,0.0050367368277701935
Romania,19.886555555555553,55.973299999999995,44.0267,37.3332,18.6402,1371.9526,3123.5714,Europa,ROU,0.3335022459404277,2.5771029958669858,0.5855839204313465
Russia,144.89811022222224,35.581399999999995,64.4186,18.0368,17.5446,4542.1381,7052.3774,Europa,RUS,0.4879708854022226,2.425630691799869,0.28291333333430063
Rwanda,11.409666666666666,48.70088888888889,51.29911111111111,48.70088888888889,0.0,23.834777777777777,47.77788888888889,África,RWA,0.3885907590235722,0.0,0.7638899811440477
Saint Helena,0.005777777777777778,0.0,100.0,0.0,0.0,1402.469111111111,1402.469111111111,África,SHN,0.7574999851009222,0.0,0.0
Saint Kitts and Nevis,0.05111111111111111,3.7568888888888887,96.2431111111111,3.7568888888888887,0.0,3791.3483333333334,3939.4604444444444,Norteamérica,KNA,0.7290415523273306,0.0,0.05892807806939991
Saint Lucia,0.17933333333333332,0.31066666666666665,99.68933333333332,0.31066666666666665,0.0,2043.4184444444445,2049.849888888889,Norteamérica,LCA,0.7551466851472086,0.0,0.004872912169704311
Saint Pierre and Miquelon,0.006,1.4925555555555556,98.50744444444445,1.4925555555555556,0.0,7549.382888888888,7660.49388888889,Norteamérica,SPM,0.7461938769899659,0.0,0.023411240763819032
Saint Vincent and the Grenadines,0.10922222222222222,15.373555555555555,84.62644444444445,15.373555555555555,0.0,1071.0506666666668,1265.2025555555556,Norteamérica,VCT,0.6410453040581069,0.0,0.24113943977990981
Samoa,0.1928888888888889,30.846555555555558,69.15344444444445,30.846555555555558,0.0,438.7328888888889,635.3448888888888,Oceanía,WSM,0.5238373313634412,0.0,0.48383869944246827
Sao Tome and Principe,0.19955555555555557,8.924333333333333,91.07566666666668,8.924333333333333,0.0,342.4487777777778,375.6591111111111,África,STP,0.6898981614305656,0.0,0.13998119905525055
Saudi Arabia,31.513999999999996,0.02722222222222222,99.97277777777778,0.02722222222222222,0.0,10045.644222222221,10048.505777777777,Asia,SAU,0.7572937767716447,0.0,0.0004269898002780959
Senegal,14.614888888888888,11.075222222222223,88.92477777777778,11.075222222222223,0.0,233.30022222222226,262.38222222222225,África,SEN,0.6736051784176948,0.0,0.17371862172375416
