,country,gdp,fossil_share_energy,renewables_share_energy,nuclear_share_energy,energy_per_capita
2214,Brazil,1470.0,57.39,41.859,0.752,12780.446
2215,Brazil,1460.0,60.381,37.819,1.799,12359.504
2216,Brazil,1480.0,58.828,39.48,1.692,12486.084
2217,Brazil,1480.0,57.466,40.939,1.595,12548.229
2218,Brazil,1560.0,57.772,40.915,1.314,13004.357
2219,Brazil,1630.0,57.163,41.76,1.077,13219.786
2220,Brazil,1770.0,56.907,41.636,1.458,13402.931
2221,Brazil,1970.0,55.785,42.989,1.226,14076.064
2222,Brazil,2210.0,56.665,42.015,1.32,14551.581
2223,Brazil,2300.0,53.828,44.945,1.226,14296.021
2224,Brazil,2660.0,55.891,42.868,1.241,15585.781
2225,Brazil,2970.0,56.277,42.45,1.272,16148.863
2226,Brazil,2960.0,58.099,40.629,1.272,16291.789
2227,Brazil,3040.0,60.476,38.35,1.174,16761.084
2228,Brazil,3040.0,61.466,37.398,1.136,16989.477
2229,Brazil,3180.0,60.271,38.632,1.097,16619.27
2230,Brazil,2810.0,57.328,41.467,1.205,16058.664
2231,Brazil,,57.676,41.15,1.174,16123.593
2232,Brazil,,55.054,43.79,1.156,16091.379
2233,Brazil,,53.822,45.017,1.162,16325.047
2234,Brazil,,,,,
2255,British Virgin Islands,,,,,21893.271
2256,British Virgin Islands,,,,,21340.039
2257,British Virgin Islands,,,,,22572.908
2258,British Virgin Islands,,,,,23018.376
2259,British Virgin Islands,,,,,24195.206
2260,British Virgin Islands,,,,,23808.272
2261,British Virgin Islands,,,,,24855.596
2262,British Virgin Islands,,,,,24736.074
2263,British Virgin Islands,,,,,25556.292
2264,British Virgin Islands,,,,,25794.158
2265,British Virgin Islands,,,,,25630.385
2266,British Virgin Islands,,,,,26229.284
2267,British Virgin Islands,,,,,25236.918
2268,British Virgin Islands,,,,,25236.918
2269,British Virgin Islands,,,,,25640.104
2270,British Virgin Islands,,,,,25747.708
2271,British Virgin Islands,,,,,26163.925
2272,British Virgin Islands,,,,,
2273,British Virgin Islands,,,,,
2274,British Virgin Islands,,,,,
2375,Brunei,,,,,59100.597
2376,Brunei,,,,,65813.08
2377,Brunei,,,,,75299.59
2378,Brunei,,,,,76577.04
2379,Brunei,,,,,83615.852
2380,Brunei,,,,,92646.392
2381,Brunei,,,,,140851.635
2382,Brunei,,,,,145892.692
2383,Brunei,,,,,148257.982
2384,Brunei,,,,,97074.735
2385,Brunei,,,,,109150.927
2386,Brunei,,,,,110697.612
2387,Brunei,,,,,106260.682
2388,Brunei,,,,,97603.853
2389,Brunei,,,,,108164.477
2390,Brunei,,,,,116331.721
2391,Brunei,,,,,123822.666
2392,Brunei,,,,,
2393,Brunei,,,,,
2394,Brunei,,,,,
2495,Bulgaria,68.57893888,73.152,3.442,23.406,26973.035
2496,Bulgaria,71.572488192,73.873,2.132,23.996,28354.462
2497,Bulgaria,75.092246528,71.873,2.753,25.374,27780.369
2498,Bulgaria,76.743450624,75.415,3.667,20.919,28837.518
2499,Bulgaria,80.431669248,75.192,3.934,20.874,28154.825
2500,Bulgaria,84.49732608,73.755,4.956,21.289,30659.726
2501,Bulgaria,92.283183104,73.701,4.715,21.584,31634.214
2502,Bulgaria,103.0,80.049,3.318,16.633,30862.095
2503,Bulgaria,110.0,78.504,3.399,18.089,30577.501
2504,Bulgaria,110.0,75.315,4.831,19.824,27013.459
2505,Bulgaria,111.0,73.787,7.188,18.937,28276.951
2506,Bulgaria,111.0,76.418,4.566,18.929,30268.183
2507,Bulgaria,115.0,73.919,6.465,19.156,28939.917
2508,Bulgaria,116.0,71.829,9.036,18.486,26922.036
2509,Bulgaria,120.0,71.056,9.003,19.333,28824.115
2510,Bulgaria,124.0,71.761,9.977,17.503,30872.252
2511,Bulgaria,128.0,71.763,8.492,18.852,29425.26
2512,Bulgaria,,73.917,7.126,18.069,30285.743
2513,Bulgaria,,69.674,10.771,18.676,30430.953
2514,Bulgaria,,70.059,9.203,19.769,29649.22
2515,Bulgaria,,,,,
2536,Burkina Faso,15.70173952,,,,366.104
2537,Burkina Faso,15.831284736,,,,390.261
2538,Burkina Faso,16.14655488,,,,394.095
2539,Burkina Faso,16.501095424,,,,427.653
2540,Burkina Faso,16.914889728,,,,371.614
2541,Burkina Faso,18.061295616,,,,381.494
2542,Burkina Faso,18.991456256,,,,364.186
2543,Burkina Faso,19.073333248,,,,505.834
2544,Burkina Faso,19.768174592,,,,535.961
